Layer,Sink_Score,Magic_Score,Other_Score,Probe_Score
0,0.010936889648437502,0.00418701171875,0.0,0.027777502271864145
1,0.017681274414062496,0.01531982421875,0.0,0.02777693006727431
2,0.0276739501953125,0.0049346923828125,0.0,0.02777964274088542
3,0.07718414306640625,0.0007049560546875,0.0,0.027778371175130212
4,0.0742974853515625,0.000922393798828125,0.0,0.027786498599582248
5,0.08382699966430665,0.000423431396484375,0.0,0.027771488825480146
6,0.06930541992187501,0.001209259033203125,0.0,0.027777544657389325
7,0.05986709594726562,0.001145172119140625,0.0,0.02777896457248264
8,0.07040817260742187,0.001303863525390625,0.0,0.027770715289645725
9,0.07047088623046874,0.000426483154296875,0.0,0.027785136964586045
10,0.05828811645507813,0.0014251708984375,0.0,0.02777647442287869
11,0.05214920043945313,0.00133514404296875,0.0,0.027771939171685116
12,0.055935974121093746,0.00208587646484375,0.0,0.027772532569037545
13,0.06325736999511719,0.001439666748046875,0.0,0.02778818872239855
14,0.04852714538574219,0.001010894775390625,0.0,0.027786821789211692
15,0.042789306640625004,0.0007720947265625,0.0,0.02777308093176948
16,0.04873077392578125,0.0005733489990234375,0.0,0.027780052026112872
17,0.056593017578125,0.0007953643798828125,0.0,0.027783664067586263
18,0.03366310119628907,0.000278472900390625,0.0,0.02777356306711833
19,0.0490435791015625,0.000580596923828125,0.0,0.027783478630913627
20,0.05910125732421876,0.001662445068359375,0.0,0.027787505255805124
21,0.04926239013671875,0.0040252685546875,0.0,0.027775277031792535
22,0.04063201904296875,0.00123748779296875,0.0,0.027776357862684464
23,0.02850357055664062,0.0014495849609375,0.0,0.027773348490397136
24,0.02145259857177734,0.0004512786865234375,0.0,0.02777592738469442
25,0.060664262771606435,0.0008541107177734375,0.0,0.027781097094217937
26,0.03664188385009766,0.00169677734375,0.0,0.027782519658406574
27,0.04594413757324219,0.002716064453125,0.0,0.02778333028157552
28,0.0480133056640625,0.00311126708984375,0.0,0.027770614624023436
29,0.06320053100585939,0.00333099365234375,0.0,0.027774810791015625
30,0.05378574371337891,0.00799560546875,0.0,0.02778516345553928
31,0.042240142822265625,0.007720947265625,0.0,0.0277779049343533
32,0.051907920837402345,0.012713623046875,0.0,0.02778022554185655
33,0.060771522521972654,0.0090576171875,0.0,0.027788877487182617
34,0.019408721923828122,0.002252197265625,0.0,0.02777208752102322
35,0.029117965698242192,0.00219268798828125,0.0,0.02775876522064209
